Date,Input,Height,Width,Init_Class,Use_Class,Prd_Order,Header[bits],Class[bits],Predictor[bits],Threshold[bits],Pred. Errors[bits],Total info.[bits],Coding Rate[bits/pel], ,Auto_Del_CL,Auto_Set_Coef,BASE_BSIZE,QUADTREE_DEPTH,MIN_BSIZE,MAX_BSIZE,COEF_PRECISION,PM_ACCURACY,NUM_GROUP,UPEL_DIST,CTX_WEIGHT,
2012/ 6/28_20:28,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-854552,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/28_20:30,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-4555992,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/28_20:32,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-481912,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/28_20:35,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-5419816,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/28_20:36,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-2600472,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/28_20:37,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-3020808,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/28_20:41,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-42216,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_19:24,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-8371160,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_19:37,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-919160,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_19:38,airplane.pgm,512,512,41,41,42,105,134903577,134668062,-2598152,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_19:39,airplane.pgm,512,512,41,41,42,105,134903577,134668046,-4611320,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_19:42,airplane.pgm,512,512,41,2012/ 6/29_19:45,airplane.pgm,512,512,41,41,42,105,134903833,134668286,-7949192,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_20: 5,airplane.pgm,512,512,41,41,42,105,134903577,134668030,-6619320,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_20:12,airplane.pgm,512,512,41,2012/ 6/29_20:13,airplane.pgm,512,512,41,2012/ 6/29_20:21,airplane.pgm,512,512,41,2012/ 6/29_20:23,airplane.pgm,512,512,41,2012/ 6/29_20:43,airplane.pgm,512,512,41,41,42,105,134903993,134668446,-2204536,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_20:57,airplane.pgm,512,512,41,2012/ 6/29_21: 5,airplane.pgm,512,512,41,2012/ 6/29_21: 9,airplane.pgm,512,512,41,2012/ 6/29_21:10,airplane.pgm,512,512,41,2012/ 6/29_21:15,airplane.pgm,512,512,41,41,42,105,134904121,134668558,-8031368,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_21:16,airplane.pgm,512,512,41,41,42,105,134904121,134668558,-1771592,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
2012/ 6/29_23: 0,airplane.pgm,512,512,41,2012/ 6/29_23: 6,airplane.pgm,512,512,41,41,42,105,134903769,134668222,-1672568,4648808,4648913,17.734196, ,OFF,OFF,8,-1,2,32,6,3,16,3,mhd,
